Date,Open,High,Low,Close,Volume
2025-03-13,2.62,2.75,2.53,2.71,67447
2025-03-12,2.48,2.65,2.41,2.53,50000
2025-03-11,2.58,2.6,2.38,2.5,104800
2025-03-10,2.61,2.67,2.52,2.6,88100
2025-03-07,2.77,3.0,2.55,2.65,207000
2025-03-06,2.48,3.03,2.46,2.78,352900
2025-03-05,2.26,2.48,2.23,2.48,132300
2025-03-04,2.19,2.36,2.0,2.26,167500
2025-03-03,2.36,2.36,2.16,2.2,254200
2025-02-28,2.33,2.49,2.27,2.43,220700
2025-02-27,2.47,2.55,2.31,2.42,358600
2025-02-26,2.67,2.9,2.41,2.43,2510700
2025-02-25,2.53,2.68,2.24,2.37,366800
2025-02-24,3.28,3.28,2.74,2.88,353300
2025-02-21,3.3,3.7,2.81,3.23,674700
2025-02-20,4.3,4.35,3.3,3.75,743008
2025-02-19,4.8,5.15,4.0,4.2,1763478
2025-02-18,6.75,8.35,6.3,7.15,1311724
2025-02-14,7.8,9.5,6.65,7.0,9785660
2025-02-13,4.85,5.45,4.6,5.4,729910
2025-02-12,5.25,5.35,4.9,5.2,268132
2025-02-11,5.5,6.2,5.05,5.5,901700
2025-02-10,4.75,6.05,4.7,5.2,760920
2025-02-07,4.6,4.75,4.55,4.7,98432
2025-02-06,4.75,4.75,4.55,4.6,85458
2025-02-05,4.95,4.95,4.55,4.85,105786
2025-02-04,4.75,4.95,4.7,4.85,106538
2025-02-03,4.75,4.9,4.55,4.8,145560
2025-01-31,5.2,5.2,4.75,4.75,129830
2025-01-30,5.0,5.05,4.8,5.0,105960
2025-01-29,5.15,5.6,4.2,5.0,151348
2025-01-28,4.85,5.4,4.75,5.2,161836
2025-01-27,5.1,5.25,4.85,5.0,187948
2025-01-24,5.2,5.65,5.0,5.3,602834
2025-01-23,5.05,5.1,4.6,4.8,254486
2025-01-22,5.1,5.25,4.9,5.15,156306
2025-01-21,5.15,5.3,5.0,5.3,263408
2025-01-17,5.35,5.5,5.05,5.1,323892
2025-01-16,5.45,5.6,5.3,5.45,236754
2025-01-15,5.45,5.7,5.25,5.45,270154
2025-01-14,5.55,5.6,5.15,5.35,413896
2025-01-13,5.95,6.2,5.45,5.85,538194
2025-01-10,5.6,6.1,5.2,5.9,589746
2025-01-08,5.5,6.15,5.15,5.8,822092
2025-01-07,5.55,5.85,5.25,5.55,1320206
2025-01-06,7.35,8.15,5.6,5.95,4940240
2025-01-03,5.9,6.65,5.7,6.15,1093766
2025-01-02,6.0,6.2,5.65,5.85,414362
2024-12-31,6.0,6.1,5.55,6.0,273266
2024-12-30,5.6,5.7,5.4,5.65,78824
2024-12-27,5.85,6.0,5.0,5.65,117116
2024-12-26,5.6,6.35,5.4,5.75,199202
2024-12-24,5.55,5.55,5.25,5.45,45500
